Id;Nome;Nome Entidade/Coletivo Cultural;Descrição Curta;Data de Criação;Data de Atualização;Tipo de agente da Rede Cultura Viva;Tipo;Pais;Estado;Município;Ações Estruturantes;Públicos que participam das ações;Área de experiência e temas;Atuação;Fonte
308181;QUILOMBO DOS CAMARÁS;QUILOMBO DOS CAMARÁS;Não Informado;14/10/2024 09:42;04/12/2024 21:26;ponto;Coletivo;Não Informado;PE;Camaragibe;cultura e juventude, economia criativa e solidária, cultura e saúde, cultura e meio ambiente, cultura e direitos humanos, cultura e educação, memória e patrimônio cultural, conhecimentos tradicionais;juventude, público em geral, mestres, praticantes, brincantes e grupos culturais populares, urbanos e rurais, populações em áreas de vulnerabilidade social, povos e comunidades tradicionais de matriz africana, mulheres, crianças e adolescentes, população de baixa renda, quilombolas, lgbt, afro-brasileiros;contador de histórias, artesanato, culturas populares, tradição oral, comunicação direitos humanos, gastronomia, juventude, meio ambiente, cultura alimentar, gênero, cultura afro;patrimônio material, museu, meio ambiente, história, cultura negra, educação, patrimônio imaterial, gastronomia, cultura popular, antropologia;https://dados.cultura.gov.br/dataset/pontos-de-cultura/resource/9c03ab4e-b00f-4f10-8063-03d921949ad3
307236;ASSOCIACAO DOS MORADORES DO SITIO BREJINHO DA SERRA;ASSOCIACAO DOS MORADORES DO SITIO BREJINHO DA SERRA;Não Informado;05/10/2024 22:40;12/10/2024 16:55;ponto;Coletivo;Não Informado;PE;Petrolândia;cultura e meio ambiente, cultura e direitos humanos, cultura e juventude, cultura e educação, agente cultura viva, memória e patrimônio cultural, cultura e saúde, cultura, infância e adolescência, livro, leitura e literatura, intercâmbio e residências artístico-culturais, economia criativa e solidária, conhecimentos tradicionais;populações atingida por barragens, mestres, praticantes, brincantes e grupos culturais populares, urbanos e rurais, pescadores, juventude, estudantes, populações em áreas de vulnerabilidade social, ribeirinhos, mulheres, população de baixa renda, pessoas com deficiência, lgbt, crianças e adolescentes, idosos, indígenas;moda, juventude, gastronomia, contador de histórias, audiovisual, meio ambiente, fotografia, cultural, artesanato, turismo, música, literatura, esporte, culturas indígenas, capacitação, produção;produção cultural, patrimônio imaterial, museu, meio ambiente, história, fotografia, educação, comunicação, audiovisual, saúde, pesquisa, moda, livro, gestão cultural, economia criativa, dança, cultura lgbt, artesanato, patrimônio material, literatura, gastronomia, cultura indígena, arquivo;https://dados.cultura.gov.br/dataset/pontos-de-cultura/resource/9c03ab4e-b00f-4f10-8063-03d921949ad3
307227;INSTITUTO ARTES SOL MAIOR - IASM - CIASM;INSTITUTO ARTES SOL MAIOR - IASM - CIASM;Não Informado;05/10/2024 19:35;07/10/2024 11:51;ponto;Coletivo;Não Informado;PE;Jaboatão dos Guararapes;cultura e educação;público em geral, pessoas em situação de sofrimento psíquico, crianças e adolescentes, imigrantes, juventude, mulheres, idosos, afro-brasileiros, estudantes;música, cultural;música, produção cultural;https://dados.cultura.gov.br/dataset/pontos-de-cultura/resource/9c03ab4e-b00f-4f10-8063-03d921949ad3
306991;BANDA MADRE DE DEUS;BANDA MADRE DE DEUS;Não Informado;02/10/2024 21:53;02/10/2024 22:26;ponto;Coletivo;Não Informado;PE;Brejo da Madre de Deus;cultura e juventude, cultura e educação, cultura, infância e adolescência;público em geral, juventude, estudantes, idosos, mulheres, crianças e adolescentes, população de baixa renda;música, cultural;educação, música;https://dados.cultura.gov.br/dataset/pontos-de-cultura/resource/9c03ab4e-b00f-4f10-8063-03d921949ad3
306980;GRES PRETO VELHO;GRES PRETO VELHO;Não Informado;02/10/2024 19:22;02/10/2024 20:58;ponto;Coletivo;Não Informado;PE;Olinda;conhecimentos tradicionais, agente cultura viva, cultura e meio ambiente, cultura e educação, cultura e juventude, cultura e direitos humanos, economia criativa e solidária;juventude, público em geral, mestres, praticantes, brincantes e grupos culturais populares, urbanos e rurais, crianças e adolescentes, mulheres, povos e comunidades tradicionais de matriz africana, população de baixa renda, lgbt, grupos artísticos e culturais independentes, afro-brasileiros;cultural, culturas populares, música, cultura afro, capacitação, produção;música, cultura popular, cultura lgbt, economia criativa, gestão cultural, turismo, produção cultural, cultura negra;https://dados.cultura.gov.br/dataset/pontos-de-cultura/resource/9c03ab4e-b00f-4f10-8063-03d921949ad3
306830;Mamulengando Alegria;Mamulengando Alegria;Não Informado;01/10/2024 14:14;15/10/2024 09:07;ponto;Coletivo;Não Informado;PE;Glória do Goitá;memória e patrimônio cultural, cultura e juventude, cultura, infância e adolescência, intercâmbio e residências artístico-culturais, conhecimentos tradicionais;público em geral, juventude, população rural, estudantes, idosos, crianças e adolescentes, mulheres, mestres, praticantes, brincantes e grupos culturais populares, urbanos e rurais, população de baixa renda, indígenas, pessoas com deficiência, lgbt, grupos artísticos e culturais independentes, afro-brasileiros;tradição oral, juventude, contador de histórias, artes cênicas, culturas populares, artesanato, cultural, turismo, música, literatura, gênero, cultura afro, produção;pesquisa, produção cultural, patrimônio imaterial, artesanato, cultura popular;https://dados.cultura.gov.br/dataset/pontos-de-cultura/resource/9c03ab4e-b00f-4f10-8063-03d921949ad3
306723;Sopa Cultural;Sopa Cultural;Não Informado;30/09/2024 16:37;30/09/2024 18:41;ponto;Coletivo;Não Informado;PE;Caruaru;memória e patrimônio cultural, cultura, comunicação e mídia livre;público em geral;cultural, música;patrimônio imaterial, dança, música, cultura popular;https://dados.cultura.gov.br/dataset/pontos-de-cultura/resource/9c03ab4e-b00f-4f10-8063-03d921949ad3
306701;QUADRILHA ARRASTA PÉ;QUADRILHA ARRASTA PÉ;Não Informado;30/09/2024 12:49;30/09/2024 22:34;ponto;Coletivo;Não Informado;PE;Caruaru;cultura, infância e adolescência, conhecimentos tradicionais, economia criativa e solidária, cultura circense, cultura e juventude;população rural, mestres, praticantes, brincantes e grupos culturais populares, urbanos e rurais, populações em áreas de vulnerabilidade social, pessoas ou grupos vítimas de violência, população de baixa renda, quilombolas, público em geral, pessoas com deficiência, juventude, mulheres, crianças e adolescentes, grupos artísticos e culturais independentes, estudantes, idosos, lgbt, afro-brasileiros;juventude, artes cênicas, tradição oral, produção, música, culturas populares, artesanato, cultural;cultura negra, dança, pesquisa, produção cultural, música, cultura popular;https://dados.cultura.gov.br/dataset/pontos-de-cultura/resource/9c03ab4e-b00f-4f10-8063-03d921949ad3
306629;ICP - INSTITUTO CASA DO PIFE;ICP - INSTITUTO CASA DO PIFE;Não Informado;29/09/2024 13:17;04/12/2024 00:15;ponto;Coletivo;Não Informado;PE;Caruaru;economia criativa e solidária, cultura e saúde, cultura, comunicação e mídia livre, cultura digital, cultura e meio ambiente, cultura e direitos humanos, cultura e juventude, cultura e educação, memória e patrimônio cultural, livro, leitura e literatura, cultura, infância e adolescência, intercâmbio e residências artístico-culturais, conhecimentos tradicionais;populações de regiões fronteiriças, estudantes, imigrantes, juventude, população de rua, público em geral, população rural, mestres, praticantes, brincantes e grupos culturais populares, urbanos e rurais, populações em áreas de vulnerabilidade social, população sem teto, ribeirinhos, grupos assentados de reforma agrária, povos e comunidades tradicionais de matriz africana, pessoas em situação de sofrimento psíquico, mulheres, crianças e adolescentes, idosos, pessoas ou grupos vítimas de violência, população de baixa renda, quilombolas, população em regime prisional, lgbt, pessoas com deficiência, indígenas, grupos artísticos e culturais independentes, afro-brasileiros;tradição oral, moda, juventude, gastronomia, cultura digital, comunicação direitos humanos, contador de histórias, audiovisual, artes cênicas, internacional, meio ambiente, hip hop, fotografia, culturas populares, cultura alimentar, capoeira, artesanato, cultural, turismo, música, literatura, esporte, gênero, culturas indígenas, cultura afro, capacitação, artes visuais, produção;cultura lgbt, arte de rua, arte digital, museu, novas mídias, moda, televisão, saúde, design, artes visuais, jornalismo, gastronomia, patrimônio material, pesquisa, turismo, sociologia, produção cultural, patrimônio imaterial, história, leitura, meio ambiente, fotografia, educação, cultura estrangeira (imigrantes), cultura negra, comunicação, audiovisual, arqueologia, artesanato, cultura digital, dança, economia criativa, filosofia, gestão cultural, livro, mídias sociais, rádio, teatro, música, literatura, direito autoral, cultura indígena, cultura popular, arquivo, cinema, antropologia;https://dados.cultura.gov.br/dataset/pontos-de-cultura/resource/9c03ab4e-b00f-4f10-8063-03d921949ad3
306445;COLETIVO CULTURAL RESPIRA;COLETIVO CULTURAL RESPIRA;Não Informado;26/09/2024 19:03;30/09/2024 15:10;ponto;Coletivo;Não Informado;PE;Caruaru;cultura e direitos humanos, cultura, infância e adolescência, cultura e juventude, cultura e educação, agente cultura viva, memória e patrimônio cultural, cultura, comunicação e mídia livre, conhecimentos tradicionais, livro, leitura e literatura, intercâmbio e residências artístico-culturais, economia criativa e solidária;mestres, praticantes, brincantes e grupos culturais populares, urbanos e rurais, público em geral, juventude, estudantes, mulheres, lgbt, grupos artísticos e culturais independentes, afro-brasileiros;comunicação direitos humanos, juventude, audiovisual, meio ambiente, hip hop, fotografia, culturas populares, cultural, turismo, música, gênero, culturas indígenas, cultura afro, capacitação, artes visuais, produção;turismo, produção cultural, meio ambiente, fotografia, educação, design, cultura negra, comunicação, audiovisual, arte digital, gestão cultural, filosofia, economia criativa, dança, cultura lgbt, artesanato, teatro, música, literatura, cultura popular, cultura indígena, cinema, artes visuais;https://dados.cultura.gov.br/dataset/pontos-de-cultura/resource/9c03ab4e-b00f-4f10-8063-03d921949ad3
